idx,id,order,Summary 1,Summary 2,Summary 3,Summary 4,Summary 5
0,5a214c5117ec8b32d076653147711a9d2426fac2,"2,3,0,4,1",Step 2,Step 3,Initial,Step 4,Step 1
1,2dbb67ff88d749e84379a9aa45e3f7c404ef5fa8,"0,2,4,1,3",Initial,Step 2,Step 4,Step 1,Step 3
2,448a9576b7e900d21fe166f94506237a4665884f,"4,1,3,0,2",Step 4,Step 1,Step 3,Initial,Step 2
3,36c086ccaee7130b7761393c844751ff59a41ec3,"3,1,2,4,0",Step 3,Step 1,Step 2,Step 4,Initial
4,2fd9d5470c00af32434dfbdbc02cdeba7e162162,"4,1,0,3,2",Step 4,Step 1,Initial,Step 3,Step 2
5,00220ec77d4406741f9c017c07839ef2e76b3eab,"1,0,3,2,4",Step 1,Initial,Step 3,Step 2,Step 4
6,7d32cf1e7d8b0940e5d560f8454397f5a93dc1b4,"4,2,3,1,0",Step 4,Step 2,Step 3,Step 1,Initial
7,c5c1e5107af6856ae568de3371ade511ea72a6ab,"0,1,4,2,3",Initial,Step 1,Step 4,Step 2,Step 3
8,99aa7fdbe4c0aac8cc02997b5a028b7773423807,"1,3,4,0,2",Step 1,Step 3,Step 4,Initial,Step 2
9,bd47660646956a2257203d201077b7a300f87f04,"4,2,3,1,0",Step 4,Step 2,Step 3,Step 1,Initial
10,63c81e1dfdf33d73c1d00b2e3397cdd46d7b3fa9,"0,2,3,1,4",Initial,Step 2,Step 3,Step 1,Step 4
11,ca3b2dc93f170f06e3a60fe7cd3243d204cc4b75,"2,3,0,4,1",Step 2,Step 3,Initial,Step 4,Step 1
12,2f443f6ad45cd77cd2302ef78104b46f1d78cc4b,"3,4,2,0,1",Step 3,Step 4,Step 2,Initial,Step 1
13,45767f990a34399076e377bc949c09aa18ca16ee,"2,4,1,3,0",Step 2,Step 4,Step 1,Step 3,Initial
14,f8fecb07d99b8a9d3fb2de0730cfbd1597377d12,"4,2,1,0,3",Step 4,Step 2,Step 1,Initial,Step 3
15,4623797b6e98917b7ecdfdd1b009e6134a4a8d9d,"0,1,3,2,4",Initial,Step 1,Step 3,Step 2,Step 4
16,3e57281183eb01e01fc23b3cdf13744b209b96e4,"4,2,3,0,1",Step 4,Step 2,Step 3,Initial,Step 1
17,1997b4f4d49b7d0655ceb3f87bbc92996e382bd4,"4,3,1,0,2",Step 4,Step 3,Step 1,Initial,Step 2
18,fbecccaa47261466dd566833258c12b4f899bc41,"2,3,4,0,1",Step 2,Step 3,Step 4,Initial,Step 1
19,d42a1a7a00c0fd1e60c825510852a53272430924,"4,3,2,1,0",Step 4,Step 3,Step 2,Step 1,Initial
20,26252d601e52ff5ffabde202bc4883ee24b4ba49,"4,0,1,3,2",Step 4,Initial,Step 1,Step 3,Step 2
21,7a72d267603be3be1abd3ce25c680502d51121b0,"3,0,1,2,4",Step 3,Initial,Step 1,Step 2,Step 4
22,b6c885ad75cadf63e7b3e93516638e6e3a4a059e,"3,0,4,1,2",Step 3,Initial,Step 4,Step 1,Step 2
23,d1c825891b2464e5af6ee3e0940687e551ef95e5,"1,0,3,2,4",Step 1,Initial,Step 3,Step 2,Step 4
24,5faeb0deba46846c779a59694af4ea1110374f95,"4,2,1,0,3",Step 4,Step 2,Step 1,Initial,Step 3
25,4b7d9dff37e0fbdbd1f7386001fbaeca4fa3fed8,"2,4,1,0,3",Step 2,Step 4,Step 1,Initial,Step 3
26,b2294f5fea3f90e258ef24ef0b29e124f78818df,"3,4,2,0,1",Step 3,Step 4,Step 2,Initial,Step 1
27,28545c6ea97e91c15d65acaf90e09d0383528226,"0,4,2,3,1",Initial,Step 4,Step 2,Step 3,Step 1
28,4e9c1abfc8a03f6afbcdb80b418541122d8b8846,"2,1,0,4,3",Step 2,Step 1,Initial,Step 4,Step 3
29,07e9f57459adb2fc41e17ff3ef44e99f72f82067,"0,1,4,2,3",Initial,Step 1,Step 4,Step 2,Step 3
30,ded3b30da1e932531ffc36760236431cc7ea61c4,"1,2,0,3,4",Step 1,Step 2,Initial,Step 3,Step 4
31,7eced77ce37489c01e2d82b6ebc3900848ff9fcb,"3,2,1,4,0",Step 3,Step 2,Step 1,Step 4,Initial
32,3f7f5a3d0d19d6b8aaa91d9b3c10d7ab2a722873,"3,4,1,2,0",Step 3,Step 4,Step 1,Step 2,Initial
33,953d4b9ce9df6571578a7784f7541c01d6f695e2,"2,1,0,3,4",Step 2,Step 1,Initial,Step 3,Step 4
34,e79e40746dbc24643a3a3f044d2f49689ff82e38,"0,3,4,2,1",Initial,Step 3,Step 4,Step 2,Step 1
35,32c66c9e0853ea1273659969dcb2f902932e97c1,"4,1,3,0,2",Step 4,Step 1,Step 3,Initial,Step 2
36,c084f004f9001be13a4f2d836fa48165fa896b5c,"2,4,1,3,0",Step 2,Step 4,Step 1,Step 3,Initial
37,9362b13f8a73d4a8181be3e52ec507eb60c49cb9,"1,4,3,2,0",Step 1,Step 4,Step 3,Step 2,Initial
38,417326884e5ec35e711ce3740f1972915a3751e1,"3,4,2,1,0",Step 3,Step 4,Step 2,Step 1,Initial
39,1a8a12710f5eb1f962f7b196c604584a3bba9d91,"4,1,2,3,0",Step 4,Step 1,Step 2,Step 3,Initial
40,1f48cae554509e71a6a34b2fc1f490c0b0564ca1,"3,0,2,4,1",Step 3,Initial,Step 2,Step 4,Step 1
