source_ents,target_ents
43,5
43,5
43,12
43,12
63,9
63,9
63,14
63,14
45,13
45,13
45,13
45,13
100,12
100,15
100,15
100,14
26,11
26,11
26,11
26,11
91,8
91,8
91,11
91,15
97,11
97,11
97,11
97,11
38,3
38,3
38,3
38,4
83,12
83,10
83,13
83,13
93,14
93,13
93,13
93,16
186,11
186,11
186,11
186,13
168,7
168,9
168,9
168,9
59,9
59,9
59,11
59,11
150,11
150,11
150,15
150,15
87,6
87,8
87,8
87,9
162,2
162,11
162,11
162,13
54,8
54,9
54,9
54,9
37,10
37,12
37,12
37,12
74,12
74,12
74,12
74,12
84,10
84,10
84,10
84,17
76,3
76,4
76,4
76,3
42,2
42,2
42,7
42,10
94,9
94,9
94,9
94,12
44,10
44,10
44,10
44,10
40,12
40,14
40,12
40,17
16,6
16,6
16,6
16,6
53,8
53,6
53,6
53,6
130,10
130,13
130,16
130,16
54,4
54,9
54,9
54,12
60,5
60,5
60,5
60,5
14,5
14,5
14,4
14,2
33,8
33,10
33,10
33,10
87,5
87,8
87,8
87,9
50,4
50,3
50,6
50,7
160,11
160,14
160,14
160,14
78,13
78,13
78,14
78,13
42,5
42,11
42,11
42,11
39,17
39,17
39,18
39,18
53,8
53,7
53,7
53,10
71,10
71,10
71,10
71,10
50,5
50,5
50,7
50,10
139,13
139,13
139,13
139,14
28,3
28,6
28,6
28,6
80,10
80,7
80,7
80,8
96,7
96,7
96,7
96,11
24,7
24,7
24,7
24,6
83,9
83,7
83,7
83,9
86,10
86,10
86,15
86,15
78,6
78,8
78,8
78,8
50,10
50,11
50,12
50,12
97,7
97,7
97,7
97,8
185,10
185,13
185,13
185,13
188,7
188,12
188,12
188,16
60,9
60,12
60,14
60,14
33,7
33,10
33,10
33,10
77,8
77,8
77,10
77,10
88,12
88,12
88,12
88,13
116,9
116,9
116,8
116,8
123,7
123,8
123,12
123,16
89,6
89,5
89,5
89,5
77,9
77,9
77,9
77,9
71,11
71,11
71,11
71,11
22,6
22,6
22,6
22,6
28,6
28,10
28,10
28,10
54,14
54,14
54,14
54,15
55,8
55,8
55,10
55,10
54,9
54,9
54,9
54,17
78,12
78,12
78,10
78,10
76,10
76,10
76,10
76,8
56,12
56,12
56,10
56,24
66,9
66,11
66,11
66,11
42,11
42,11
42,11
42,12
92,7
92,7
92,7
92,12
43,8
43,8
43,9
43,11
87,13
87,13
87,13
87,13
28,6
28,7
28,7
28,10
40,5
40,5
40,8
40,10
74,7
74,8
74,8
74,8
145,1
145,6
145,6
145,7
26,9
26,9
26,11
26,10
116,9
116,9
116,9
116,11
25,5
25,5
25,5
25,5
62,9
62,14
62,14
62,14
167,16
167,16
167,14
167,14
80,6
80,9
80,11
80,11
58,10
58,10
58,14
58,14
34,7
34,8
34,11
34,11
26,13
26,11
26,11
26,10
61,4
61,5
61,7
61,12
73,7
73,12
73,12
73,12
21,5
21,5
21,7
21,9
44,15
44,15
44,21
44,21
67,10
67,9
67,9
67,10
72,11
72,11
72,12
72,14
75,9
75,10
75,14
75,14
223,8
223,11
223,11
223,13
83,9
83,7
83,12
83,12
59,7
59,7
59,9
59,10
51,8
51,10
51,7
51,9
193,17
193,17
193,17
193,19
